R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
CM Punk,0,19 of 81,23%,56 of 129,1 of 9,11%,0,1,2:52,10 of 63,7 of 13,2 of 5,10 of 67,7 of 11,2 of 3,Mike Jackson,0,64 of 108,59%,129 of 177,1 of 1,100%,0,0,7:26,54 of 95,10 of 12,0 of 1,32 of 66,14 of 16,18 of 26,No Contest,Welterweight,0,UFC 225: Whittaker vs. Romero 2,Overturned,3,5:00
Alistair Overeem,0,7 of 12,58%,24 of 31,0 of 0,---,2,0,0:00,3 of 8,4 of 4,0 of 0,6 of 10,0 of 0,1 of 2,Curtis Blaydes,0,37 of 53,69%,62 of 85,4 of 4,100%,0,0,7:45,32 of 48,5 of 5,0 of 0,3 of 16,12 of 14,22 of 23,Blue,Heavyweight,0,UFC 225: Whittaker vs. Romero 2,KO/TKO,3,2:56
Claudia Gadelha,0,26 of 64,40%,78 of 124,4 of 5,80%,1,0,5:02,23 of 59,3 of 5,0 of 0,22 of 57,1 of 2,3 of 5,Carla Esparza,0,43 of 103,41%,205 of 288,2 of 4,50%,0,0,3:35,33 of 89,3 of 3,7 of 11,28 of 79,7 of 12,8 of 12,Red,Women's Strawweight,0,UFC 225: Whittaker vs. Romero 2,Decision - Split,3,5:00
Ricardo Lamas,0,34 of 62,54%,69 of 97,0 of 4,0%,2,1,0:54,8 of 34,21 of 23,5 of 5,15 of 40,19 of 20,0 of 2,Mirsad Bektic,0,31 of 89,34%,97 of 174,2 of 4,50%,0,0,8:35,12 of 65,15 of 18,4 of 6,15 of 62,14 of 23,2 of 4,Blue,Featherweight,0,UFC 225: Whittaker vs. Romero 2,Decision - Split,3,5:00
Rashad Coulter,0,30 of 57,52%,30 of 58,0 of 1,0%,0,0,0:01,26 of 52,4 of 5,0 of 0,19 of 41,11 of 16,0 of 0,Chris de la Rocha,0,40 of 79,50%,79 of 129,3 of 4,75%,2,0,5:20,36 of 75,3 of 3,1 of 1,14 of 46,8 of 11,18 of 22,Blue,Heavyweight,0,UFC 225: Whittaker vs. Romero 2,KO/TKO,2,3:53
Rashad Evans,0,1 of 6,16%,2 of 7,0 of 1,0%,0,0,0:15,1 of 6,0 of 0,0 of 0,0 of 3,1 of 3,0 of 0,Anthony Smith,1,6 of 9,66%,6 of 9,0 of 1,0%,0,0,0:04,4 of 7,0 of 0,2 of 2,2 of 4,2 of 3,2 of 2,Blue,Light Heavyweight,0,UFC 225: Whittaker vs. Romero 2,KO/TKO,1,0:53
Joseph Benavidez,0,59 of 186,31%,86 of 216,2 of 14,14%,0,0,4:24,28 of 128,14 of 33,17 of 25,57 of 180,2 of 6,0 of 0,Sergio Pettis,0,74 of 168,44%,87 of 183,0 of 0,---,0,0,0:00,69 of 155,5 of 13,0 of 0,64 of 158,9 of 9,1 of 1,Blue,Flyweight,0,UFC 225: Whittaker vs. Romero 2,Decision - Split,3,5:00
Clay Guida,0,9 of 25,36%,9 of 25,0 of 1,0%,0,0,0:00,4 of 20,3 of 3,2 of 2,8 of 24,1 of 1,0 of 0,Charles Oliveira,0,14 of 29,48%,14 of 29,0 of 0,---,1,0,0:02,6 of 18,1 of 2,7 of 9,14 of 28,0 of 1,0 of 0,Blue,Lightweight,0,UFC 225: Whittaker vs. Romero 2,Submission,1,2:18
Mike Santiago,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Dan Ige,0,25 of 27,92%,29 of 32,1 of 1,100%,0,0,0:32,25 of 27,0 of 0,0 of 0,2 of 2,2 of 3,21 of 22,Blue,Featherweight,0,UFC 225: Whittaker vs. Romero 2,KO/TKO,1,0:50
Jimmie Rivera,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,Marlon Moraes,1,7 of 9,77%,7 of 9,0 of 0,---,0,0,0:00,6 of 8,0 of 0,1 of 1,2 of 3,0 of 0,5 of 6,Blue,Bantamweight,0,UFC Fight Night: Rivera vs. Moraes,KO/TKO,1,0:33
Gregor Gillespie,0,13 of 26,50%,30 of 48,7 of 9,77%,2,0,7:51,11 of 24,1 of 1,1 of 1,5 of 13,2 of 5,6 of 8,Vinc Pichel,0,7 of 22,31%,35 of 51,0 of 0,---,0,0,0:00,6 of 21,0 of 0,1 of 1,3 of 17,4 of 5,0 of 0,Red,Lightweight,0,UFC Fight Night: Rivera vs. Moraes,Submission,2,4:06
Walt Harris,1,29 of 79,36%,30 of 80,0 of 0,---,0,0,0:10,19 of 61,6 of 14,4 of 4,18 of 66,2 of 2,9 of 11,Daniel Spitz,0,17 of 42,40%,17 of 42,0 of 0,---,0,0,0:00,1 of 17,5 of 13,11 of 12,17 of 42,0 of 0,0 of 0,Red,Heavyweight,0,UFC Fight Night: Rivera vs. Moraes,KO/TKO,2,4:59
Jake Ellenberger,0,5 of 9,55%,7 of 12,0 of 0,---,0,0,0:40,4 of 8,1 of 1,0 of 0,1 of 2,4 of 7,0 of 0,Ben Saunders,1,10 of 21,47%,11 of 22,0 of 0,---,0,0,0:00,7 of 17,3 of 4,0 of 0,1 of 8,7 of 10,2 of 3,Blue,Welterweight,0,UFC Fight Night: Rivera vs. Moraes,KO/TKO,1,1:56
Julio Arce,0,63 of 178,35%,80 of 199,0 of 1,0%,1,0,1:20,37 of 141,21 of 31,5 of 6,52 of 161,8 of 11,3 of 6,Daniel Teymur,0,37 of 102,36%,39 of 105,0 of 2,0%,0,0,1:32,5 of 47,4 of 7,28 of 48,31 of 93,6 of 9,0 of 0,Red,Featherweight,0,UFC Fight Night: Rivera vs. Moraes,Submission,3,2:55
Gian Villante,0,50 of 133,37%,50 of 133,0 of 0,---,0,0,0:06,20 of 91,12 of 23,18 of 19,50 of 133,0 of 0,0 of 0,Sam Alvey,1,53 of 122,43%,59 of 128,0 of 0,---,0,0,0:00,40 of 104,2 of 4,11 of 14,49 of 112,4 of 9,0 of 1,Blue,Light Heavyweight,0,UFC Fight Night: Rivera vs. Moraes,Decision - Split,3,5:00
Sijara Eubanks,0,75 of 213,35%,96 of 238,2 of 4,50%,0,0,4:50,51 of 179,13 of 22,11 of 12,61 of 193,3 of 4,11 of 16,Lauren Murphy,0,49 of 125,39%,71 of 147,0 of 2,0%,0,0,0:10,35 of 101,11 of 17,3 of 7,39 of 115,7 of 7,3 of 3,Red,Women's Flyweight,0,UFC Fight Night: Rivera vs. Moraes,Decision - Unanimous,3,5:00
Nik Lentz,0,61 of 144,42%,63 of 146,0 of 5,0%,0,0,0:44,31 of 107,24 of 28,6 of 9,61 of 144,0 of 0,0 of 0,David Teymur,0,67 of 187,35%,72 of 192,0 of 0,---,0,0,0:06,31 of 141,12 of 20,24 of 26,67 of 187,0 of 0,0 of 0,Blue,Lightweight,0,UFC Fight Night: Rivera vs. Moraes,Decision - Unanimous,3,5:00
Belal Muhammad,0,70 of 130,53%,88 of 149,3 of 4,75%,1,0,2:03,45 of 99,8 of 11,17 of 20,65 of 124,0 of 1,5 of 5,Chance Rencountre,0,16 of 123,13%,16 of 123,0 of 3,0%,0,0,0:00,8 of 102,3 of 14,5 of 7,16 of 123,0 of 0,0 of 0,Red,Welterweight,0,UFC Fight Night: Rivera vs. Moraes,Decision - Unanimous,3,5:00
Desmond Green,0,77 of 191,40%,77 of 191,0 of 0,---,0,0,0:00,61 of 160,13 of 27,3 of 4,75 of 187,2 of 4,0 of 0,Gleison Tibau,0,28 of 178,15%,29 of 179,0 of 3,0%,0,0,0:00,20 of 159,6 of 17,2 of 2,28 of 176,0 of 2,0 of 0,Red,Lightweight,0,UFC Fight Night: Rivera vs. Moraes,Decision - Unanimous,3,5:00
Johnny Eduardo,0,37 of 88,42%,37 of 88,0 of 1,0%,0,0,0:03,27 of 72,3 of 8,7 of 8,35 of 86,2 of 2,0 of 0,Nathaniel Wood,0,33 of 97,34%,33 of 97,0 of 0,---,1,0,0:41,20 of 73,3 of 7,10 of 17,33 of 97,0 of 0,0 of 0,Blue,Bantamweight,0,UFC Fight Night: Rivera vs. Moraes,Submission,2,2:18
Jarred Brooks,0,31 of 69,44%,42 of 80,2 of 5,40%,0,0,3:13,17 of 53,14 of 16,0 of 0,15 of 53,5 of 5,11 of 11,Jose Torres,0,22 of 62,35%,25 of 65,1 of 3,33%,0,1,0:42,14 of 51,5 of 8,3 of 3,12 of 49,5 of 7,5 of 6,Blue,Flyweight,0,UFC Fight Night: Rivera vs. Moraes,KO/TKO,2,2:55
Stephen Thompson,0,30 of 126,23%,31 of 127,0 of 1,0%,0,0,0:00,8 of 92,13 of 19,9 of 15,29 of 125,1 of 1,0 of 0,Darren Till,1,38 of 126,30%,40 of 129,0 of 0,---,0,0,0:14,18 of 87,5 of 12,15 of 27,34 of 121,4 of 5,0 of 0,Blue,Welterweight,0,UFC Fight Night: Thompson vs. Till,Decision - Unanimous,5,5:00
Neil Magny,1,18 of 29,62%,40 of 53,0 of 2,0%,0,0,1:57,14 of 22,3 of 6,1 of 1,2 of 9,3 of 3,13 of 17,Craig White,0,6 of 17,35%,13 of 28,0 of 2,0%,0,0,1:49,1 of 10,2 of 2,3 of 5,5 of 12,1 of 5,0 of 0,Red,Welterweight,0,UFC Fight Night: Thompson vs. Till,KO/TKO,1,4:32
Arnold Allen,0,29 of 90,32%,38 of 101,0 of 0,---,1,0,0:09,21 of 76,8 of 14,0 of 0,29 of 88,0 of 2,0 of 0,Mads Burnell,0,20 of 56,35%,70 of 120,6 of 12,50%,0,0,7:44,13 of 46,3 of 4,4 of 6,16 of 48,1 of 1,3 of 7,Red,Featherweight,0,UFC Fight Night: Thompson vs. Till,Submission,3,2:41
Jason Knight,2,29 of 88,32%,64 of 124,0 of 1,0%,1,1,6:54,10 of 52,6 of 18,13 of 18,29 of 86,0 of 2,0 of 0,Makwan Amirkhani,0,27 of 62,43%,32 of 68,3 of 5,60%,0,0,0:14,25 of 60,1 of 1,1 of 1,18 of 48,0 of 0,9 of 14,Blue,Featherweight,0,UFC Fight Night: Thompson vs. Till,Decision - Split,3,5:00
Claudio Silva,0,18 of 39,46%,25 of 51,1 of 3,33%,1,0,1:48,11 of 27,6 of 9,1 of 3,6 of 16,3 of 4,9 of 19,Nordine Taleb,0,6 of 12,50%,6 of 12,1 of 2,50%,0,0,0:11,1 of 6,3 of 4,2 of 2,4 of 9,2 of 3,0 of 0,Red,Welterweight,0,UFC Fight Night: Thompson vs. Till,Submission,1,4:31
Eric Spicely,0,15 of 75,20%,19 of 79,0 of 4,0%,0,0,1:03,11 of 66,0 of 5,4 of 4,15 of 74,0 of 1,0 of 0,Darren Stewart,1,34 of 90,37%,34 of 90,0 of 0,---,0,0,0:15,26 of 80,8 of 10,0 of 0,25 of 74,4 of 6,5 of 10,Blue,Middleweight,0,UFC Fight Night: Thompson vs. Till,KO/TKO,2,1:47
Daniel Kelly,0,6 of 28,21%,6 of 28,0 of 0,---,0,0,0:00,1 of 19,1 of 3,4 of 6,6 of 28,0 of 0,0 of 0,Tom Breese,1,23 of 44,52%,23 of 44,0 of 0,---,0,0,0:01,21 of 41,2 of 3,0 of 0,22 of 42,0 of 0,1 of 2,Blue,Middleweight,0,UFC Fight Night: Thompson vs. Till,KO/TKO,1,3:33
Lina Lansberg,0,40 of 75,53%,81 of 125,1 of 1,100%,0,0,7:31,13 of 44,26 of 28,1 of 3,13 of 42,27 of 33,0 of 0,Gina Mazany,0,38 of 89,42%,112 of 178,2 of 2,100%,0,0,3:01,10 of 51,18 of 25,10 of 13,24 of 63,14 of 26,0 of 0,Red,Women's Bantamweight,0,UFC Fight Night: Thompson vs. Till,Decision - Unanimous,3,5:00
Brad Scott,1,58 of 155,37%,63 of 160,0 of 0,---,0,0,0:01,32 of 104,16 of 39,10 of 12,55 of 152,2 of 2,1 of 1,Carlo Pedersoli Jr.,0,67 of 179,37%,68 of 181,3 of 4,75%,0,0,1:26,39 of 137,22 of 35,6 of 7,65 of 176,0 of 0,2 of 3,Blue,Welterweight,0,UFC Fight Night: Thompson vs. Till,Decision - Split,3,5:00
Gillian Robertson,0,17 of 50,34%,26 of 60,2 of 4,50%,1,0,4:32,16 of 49,0 of 0,1 of 1,5 of 34,0 of 0,12 of 16,Molly McCann,0,10 of 33,30%,10 of 33,0 of 0,---,0,0,0:02,10 of 32,0 of 1,0 of 0,10 of 33,0 of 0,0 of 0,Red,Women's Flyweight,0,UFC Fight Night: Thompson vs. Till,Submission,2,2:05
Elias Theodorou,0,77 of 138,55%,140 of 203,0 of 0,---,0,0,4:01,37 of 83,33 of 47,7 of 8,23 of 53,51 of 81,3 of 4,Trevor Smith,0,41 of 81,50%,82 of 123,3 of 11,27%,0,0,4:22,14 of 48,21 of 27,6 of 6,14 of 44,24 of 32,3 of 5,Red,Middleweight,0,UFC Fight Night: Thompson vs. Till,Decision - Unanimous,3,5:00
Demian Maia,0,27 of 87,31%,33 of 94,0 of 15,0%,0,0,2:01,26 of 85,1 of 2,0 of 0,25 of 85,1 of 1,1 of 1,Kamaru Usman,1,66 of 209,31%,97 of 244,0 of 0,---,0,0,4:19,49 of 181,4 of 12,13 of 16,55 of 187,1 of 5,10 of 17,Blue,Welterweight,0,UFC Fight Night: Maia vs. Usman,Decision - Unanimous,5,5:00
Alexa Grasso,0,6 of 8,75%,21 of 23,0 of 0,---,0,0,0:00,4 of 5,2 of 3,0 of 0,0 of 2,4 of 4,2 of 2,Tatiana Suarez,0,2 of 9,22%,4 of 11,2 of 3,66%,1,0,1:41,1 of 7,0 of 1,1 of 1,1 of 8,0 of 0,1 of 1,Blue,Women's Strawweight,0,UFC Fight Night: Maia vs. Usman,Submission,1,2:44
Jared Cannonier,0,6 of 21,28%,10 of 26,0 of 0,---,0,0,0:00,4 of 18,0 of 1,2 of 2,6 of 20,0 of 1,0 of 0,Dominick Reyes,1,20 of 52,38%,21 of 53,0 of 1,0%,0,0,0:00,7 of 33,5 of 11,8 of 8,19 of 49,1 of 3,0 of 0,Blue,Light Heavyweight,0,UFC Fight Night: Maia vs. Usman,KO/TKO,1,2:55
Diego Rivas,0,22 of 46,47%,26 of 50,2 of 5,40%,1,0,3:03,10 of 23,7 of 17,5 of 6,8 of 31,13 of 14,1 of 1,Guido Cannetti,0,25 of 53,47%,44 of 75,1 of 3,33%,1,1,5:56,12 of 35,6 of 11,7 of 7,10 of 32,7 of 12,8 of 9,Blue,Bantamweight,0,UFC Fight Night: Maia vs. Usman,Decision - Unanimous,3,5:00
Veronica Macedo,0,24 of 73,32%,42 of 100,1 of 1,100%,1,0,1:43,17 of 60,3 of 7,4 of 6,19 of 57,4 of 6,1 of 10,Andrea Lee,0,56 of 93,60%,87 of 131,3 of 5,60%,2,0,8:04,17 of 37,24 of 29,15 of 27,15 of 40,26 of 28,15 of 25,Blue,Women's Flyweight,0,UFC Fight Night: Maia vs. Usman,Decision - Unanimous,3,5:00
Vicente Luque,1,14 of 35,40%,14 of 35,0 of 0,---,0,0,0:00,9 of 26,1 of 3,4 of 6,10 of 30,1 of 1,3 of 4,Chad Laprise,0,13 of 29,44%,14 of 30,0 of 1,0%,0,0,0:51,6 of 21,3 of 3,4 of 5,9 of 25,4 of 4,0 of 0,Red,Welterweight,0,UFC Fight Night: Maia vs. Usman,KO/TKO,1,4:16
Zak Cummings,0,28 of 92,30%,62 of 128,0 of 0,---,0,0,2:13,12 of 64,11 of 21,5 of 7,15 of 74,13 of 18,0 of 0,Michel Prazeres,0,30 of 76,39%,32 of 78,3 of 9,33%,0,0,2:44,20 of 59,4 of 7,6 of 10,29 of 72,1 of 4,0 of 0,Blue,Welterweight,0,UFC Fight Night: Maia vs. Usman,Decision - Split,3,5:00
Brandon Moreno,0,45 of 133,33%,50 of 140,2 of 7,28%,0,0,0:16,32 of 113,4 of 5,9 of 15,43 of 126,2 of 7,0 of 0,Alexandre Pantoja,0,79 of 168,47%,96 of 187,0 of 0,---,0,0,1:12,58 of 133,7 of 17,14 of 18,69 of 154,3 of 6,7 of 8,Blue,Flyweight,0,UFC Fight Night: Maia vs. Usman,Decision - Unanimous,3,5:00
Poliana Botelho,1,9 of 13,69%,9 of 13,0 of 0,---,0,0,0:05,7 of 10,1 of 2,1 of 1,3 of 6,0 of 0,6 of 7,Syuri Kondo,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,0 of 1,0 of 0,2 of 2,2 of 3,0 of 0,0 of 0,Red,Women's Strawweight,0,UFC Fight Night: Maia vs. Usman,KO/TKO,1,0:33
Gabriel Benitez,1,9 of 19,47%,9 of 19,1 of 1,100%,0,0,0:24,7 of 17,1 of 1,1 of 1,2 of 6,0 of 0,7 of 13,Humberto Bandenay,0,2 of 2,100%,2 of 2,0 of 0,---,1,0,0:00,1 of 1,0 of 0,1 of 1,2 of 2,0 of 0,0 of 0,Red,Featherweight,0,UFC Fight Night: Maia vs. Usman,KO/TKO,1,0:39
Enrique Barzola,0,51 of 94,54%,89 of 149,10 of 15,66%,1,0,7:13,33 of 72,5 of 9,13 of 13,27 of 59,5 of 9,19 of 26,Brandon Davis,0,29 of 87,33%,39 of 102,0 of 1,0%,0,0,0:53,18 of 72,2 of 4,9 of 11,28 of 85,1 of 1,0 of 1,Red,Featherweight,0,UFC Fight Night: Maia vs. Usman,Decision - Unanimous,3,5:00
Henry Briones,0,44 of 104,42%,58 of 123,0 of 0,---,1,0,0:08,25 of 82,10 of 13,9 of 9,40 of 98,4 of 6,0 of 0,Frankie Saenz,1,66 of 120,55%,84 of 138,4 of 10,40%,0,0,4:10,36 of 81,18 of 22,12 of 17,40 of 84,16 of 19,10 of 17,Blue,Bantamweight,0,UFC Fight Night: Maia vs. Usman,Decision - Unanimous,3,5:00
Claudio Puelles,0,16 of 49,32%,16 of 49,2 of 7,28%,1,0,1:28,11 of 41,3 of 6,2 of 2,12 of 44,0 of 0,4 of 5,Felipe Silva,1,70 of 130,53%,103 of 171,1 of 1,100%,0,0,2:52,48 of 101,12 of 17,10 of 12,30 of 75,4 of 6,36 of 49,Red,Lightweight,0,UFC Fight Night: Maia vs. Usman,Submission,3,2:23
Amanda Nunes,0,124 of 254,48%,152 of 288,3 of 4,75%,0,0,4:29,72 of 171,31 of 46,21 of 37,96 of 219,15 of 19,13 of 16,Raquel Pennington,0,64 of 169,37%,79 of 186,1 of 8,12%,0,0,2:13,49 of 148,10 of 15,5 of 6,56 of 160,7 of 8,1 of 1,Red,Women's Bantamweight,1,UFC 224: Nunes vs. Pennington,KO/TKO,5,2:36
Jacare Souza,0,64 of 115,55%,78 of 129,1 of 9,11%,1,1,3:28,42 of 84,21 of 30,1 of 1,42 of 90,8 of 11,14 of 14,Kelvin Gastelum,1,53 of 145,36%,57 of 149,0 of 0,---,0,0,0:35,44 of 133,7 of 10,2 of 2,41 of 125,9 of 10,3 of 10,Blue,Middleweight,0,UFC 224: Nunes vs. Pennington,Decision - Split,3,5:00
Mackenzie Dern,1,15 of 32,46%,16 of 33,0 of 0,---,1,0,0:09,14 of 30,1 of 2,0 of 0,9 of 24,0 of 0,6 of 8,Amanda Cooper,0,6 of 25,24%,6 of 25,0 of 0,---,0,0,0:00,5 of 24,0 of 0,1 of 1,6 of 25,0 of 0,0 of 0,Red,Women's Strawweight,0,UFC 224: Nunes vs. Pennington,Submission,1,2:27
John Lineker,2,102 of 233,43%,113 of 244,0 of 0,---,1,0,1:07,65 of 173,31 of 49,6 of 11,89 of 211,7 of 12,6 of 10,Brian Kelleher,0,50 of 137,36%,58 of 147,1 of 6,16%,0,0,0:43,41 of 112,6 of 19,3 of 6,46 of 132,3 of 4,1 of 1,Red,Bantamweight,0,UFC 224: Nunes vs. Pennington,KO/TKO,3,3:43
Vitor Belfort,0,2 of 12,16%,2 of 12,0 of 0,---,0,0,0:00,2 of 11,0 of 1,0 of 0,2 of 12,0 of 0,0 of 0,Lyoto Machida,1,11 of 22,50%,11 of 22,0 of 0,---,0,0,0:00,2 of 8,7 of 11,2 of 3,11 of 22,0 of 0,0 of 0,Blue,Middleweight,0,UFC 224: Nunes vs. Pennington,KO/TKO,2,1:00
Cezar Ferreira,0,5 of 6,83%,14 of 16,2 of 3,66%,1,0,4:20,4 of 5,1 of 1,0 of 0,1 of 1,0 of 0,4 of 5,Karl Roberson,0,4 of 6,66%,20 of 26,0 of 0,---,0,0,0:00,3 of 5,0 of 0,1 of 1,1 of 3,2 of 2,1 of 1,Red,Middleweight,0,UFC 224: Nunes vs. Pennington,Submission,1,4:45
Aleksei Oleinik,0,10 of 17,58%,10 of 17,0 of 3,0%,1,0,0:15,6 of 12,2 of 3,2 of 2,10 of 17,0 of 0,0 of 0,Junior Albini,0,10 of 15,66%,10 of 15,1 of 1,100%,0,0,0:12,7 of 11,2 of 3,1 of 1,9 of 13,1 of 2,0 of 0,Red,Heavyweight,0,UFC 224: Nunes vs. Pennington,Submission,1,1:45
Davi Ramos,0,6 of 12,50%,13 of 21,1 of 1,100%,1,0,2:10,5 of 9,1 of 3,0 of 0,5 of 11,0 of 0,1 of 1,Nick Hein,0,1 of 6,16%,1 of 6,0 of 0,---,0,0,0:07,1 of 6,0 of 0,0 of 0,1 of 6,0 of 0,0 of 0,Red,Lightweight,0,UFC 224: Nunes vs. Pennington,Submission,1,4:15
Elizeu Zaleski dos Santos,1,15 of 58,25%,18 of 63,0 of 1,0%,0,0,0:06,9 of 41,2 of 8,4 of 9,9 of 45,0 of 0,6 of 13,Sean Strickland,0,14 of 36,38%,14 of 36,0 of 0,---,0,0,0:00,13 of 35,0 of 0,1 of 1,13 of 35,1 of 1,0 of 0,Red,Welterweight,0,UFC 224: Nunes vs. Pennington,KO/TKO,1,3:40
Warlley Alves,0,29 of 50,58%,54 of 78,0 of 1,0%,0,0,3:24,7 of 20,12 of 19,10 of 11,10 of 28,19 of 22,0 of 0,Sultan Aliev,0,12 of 28,42%,14 of 30,1 of 3,33%,0,0,2:07,10 of 24,2 of 4,0 of 0,7 of 21,5 of 7,0 of 0,Red,Welterweight,0,UFC 224: Nunes vs. Pennington,TKO - Doctor's Stoppage,2,5:00
Thales Leites,0,11 of 17,64%,20 of 27,3 of 9,33%,3,0,7:41,5 of 11,1 of 1,5 of 5,6 of 9,1 of 1,4 of 7,Jack Hermansson,0,35 of 56,62%,49 of 71,3 of 3,100%,1,0,2:06,25 of 43,4 of 6,6 of 7,14 of 30,2 of 2,19 of 24,Blue,Middleweight,0,UFC 224: Nunes vs. Pennington,KO/TKO,3,2:10
Alberto Mina,0,12 of 82,14%,16 of 87,1 of 5,20%,0,0,0:05,5 of 65,3 of 11,4 of 6,11 of 79,1 of 2,0 of 1,Ramazan Emeev,0,39 of 84,46%,54 of 100,3 of 6,50%,0,0,5:06,28 of 67,8 of 14,3 of 3,24 of 57,4 of 9,11 of 18,Blue,Welterweight,0,UFC 224: Nunes vs. Pennington,Decision - Unanimous,3,5:00
Markus Perez,0,4 of 4,100%,13 of 16,1 of 1,100%,2,0,3:17,3 of 3,1 of 1,0 of 0,0 of 0,1 of 1,3 of 3,James Bochnovic,0,3 of 6,50%,4 of 8,0 of 1,0%,0,0,0:59,1 of 3,2 of 3,0 of 0,1 of 3,1 of 2,1 of 1,Red,Middleweight,0,UFC 224: Nunes vs. Pennington,Submission,1,4:28
Edson Barboza,0,51 of 106,48%,64 of 119,0 of 1,0%,0,0,0:10,26 of 73,20 of 26,5 of 7,47 of 102,2 of 2,2 of 2,Kevin Lee,0,142 of 241,58%,233 of 344,4 of 9,44%,0,0,15:01,138 of 236,3 of 4,1 of 1,46 of 122,0 of 0,96 of 119,Blue,Lightweight,0,UFC Fight Night: Barboza vs. Lee,TKO - Doctor's Stoppage,5,2:18
Frankie Edgar,0,58 of 136,42%,60 of 139,0 of 8,0%,0,0,0:51,33 of 106,6 of 10,19 of 20,52 of 126,6 of 10,0 of 0,Cub Swanson,0,48 of 130,36%,50 of 132,0 of 0,---,0,0,0:00,32 of 110,11 of 15,5 of 5,42 of 122,6 of 8,0 of 0,Red,Featherweight,0,UFC Fight Night: Barboza vs. Lee,Decision - Unanimous,3,5:00
Justin Willis,1,76 of 109,69%,118 of 153,1 of 2,50%,0,0,3:00,68 of 101,8 of 8,0 of 0,53 of 82,6 of 7,17 of 20,Chase Sherman,0,69 of 137,50%,112 of 180,0 of 0,---,0,0,2:02,34 of 90,24 of 33,11 of 14,53 of 120,15 of 16,1 of 1,Red,Heavyweight,0,UFC Fight Night: Barboza vs. Lee,Decision - Unanimous,3,5:00
David Branch,1,5 of 15,33%,5 of 15,0 of 1,0%,0,0,0:02,5 of 14,0 of 1,0 of 0,1 of 11,0 of 0,4 of 4,Thiago Santos,0,14 of 29,48%,14 of 29,0 of 0,---,0,0,0:00,4 of 17,2 of 3,8 of 9,14 of 29,0 of 0,0 of 0,Red,Middleweight,0,UFC Fight Night: Barboza vs. Lee,KO/TKO,1,2:30
Aljamain Sterling,0,89 of 152,58%,117 of 181,3 of 9,33%,0,1,1:22,40 of 88,37 of 51,12 of 13,53 of 103,26 of 32,10 of 17,Brett Johns,0,27 of 89,30%,56 of 119,1 of 5,20%,0,0,6:31,23 of 79,4 of 8,0 of 2,17 of 76,10 of 13,0 of 0,Red,Bantamweight,0,UFC Fight Night: Barboza vs. Lee,Decision - Unanimous,3,5:00
Jim Miller,0,10 of 20,50%,13 of 23,1 of 2,50%,0,0,0:27,6 of 16,2 of 2,2 of 2,8 of 17,2 of 3,0 of 0,Dan Hooker,1,24 of 44,54%,24 of 44,0 of 0,---,0,0,0:13,15 of 33,4 of 4,5 of 7,23 of 43,0 of 0,1 of 1,Blue,Lightweight,0,UFC Fight Night: Barboza vs. Lee,KO/TKO,1,3:00
Ryan LaFlare,0,24 of 48,50%,47 of 71,1 of 6,16%,0,1,4:28,5 of 27,17 of 19,2 of 2,17 of 38,3 of 6,4 of 4,Alex Garcia,0,11 of 54,20%,21 of 66,5 of 7,71%,0,0,4:06,6 of 46,4 of 7,1 of 1,7 of 46,3 of 7,1 of 1,Red,Welterweight,0,UFC Fight Night: Barboza vs. Lee,Decision - Unanimous,3,5:00
Merab Dvalishvili,1,61 of 210,29%,82 of 233,6 of 22,27%,0,0,2:42,42 of 185,8 of 12,11 of 13,56 of 194,5 of 15,0 of 1,Ricky Simon,0,34 of 103,33%,38 of 108,2 of 7,28%,1,1,2:46,25 of 91,6 of 9,3 of 3,28 of 95,5 of 7,1 of 1,Blue,Bantamweight,0,UFC Fight Night: Barboza vs. Lee,KO/TKO,3,5:00
Siyar Bahadurzada,1,33 of 64,51%,61 of 94,1 of 1,100%,0,0,1:40,20 of 51,9 of 9,4 of 4,24 of 52,2 of 3,7 of 9,Luan Chagas,0,11 of 37,29%,31 of 58,0 of 1,0%,0,1,2:34,7 of 26,1 of 6,3 of 5,9 of 34,1 of 1,1 of 2,Red,Welterweight,0,UFC Fight Night: Barboza vs. Lee,KO/TKO,2,2:40
Corey Anderson,0,64 of 119,53%,99 of 162,12 of 13,92%,0,0,8:02,56 of 107,6 of 10,2 of 2,38 of 85,16 of 22,10 of 12,Patrick Cummins,0,31 of 99,31%,44 of 113,0 of 1,0%,0,0,0:30,24 of 85,6 of 12,1 of 2,18 of 79,12 of 19,1 of 1,Red,Light Heavyweight,0,UFC Fight Night: Barboza vs. Lee,Decision - Unanimous,3,5:00
